from,to,year,type,pps
FCK,ABE,2019,1,0
FSVM,ABE,2020,1,"1,2"
RBL,ABE,2021,1,"0,8"
H96,ABR,2018,1,"0,2"
S04,ABR,2016,1,"1,4"
TSGH,ABR,2023,1,"0,2"
BSC,ACO,2019,1,"0,2"
BSC,ACO,2012,1,"0,2"
BMG,AH,2022,1,"1,6"
SGE,AH,2021,1,"1,4"
VFB,AHI,2018,1,1
VFLW,AJO,2017,1,"0,8"
BSC,ANO,2020,1,1
SVW,ANO,2017,1,"0,6"
FCK,APA,2019,1,"0,8"
FCN,AR,2013,1,"0,6"
TSGH,AS,2020,1,"1,6"
BMG,ASC,2016,1,"0,8"
SGE,AVE,2016,1,"0,6"
SGE,AVE,2014,1,"0,2"
VFB,AVE,2014,1,"0,8"
VFB,AZO,2015,1,"1,2"
GS,B04,2021,2,2
HH,B04,2017,2,"0,8"
HW,B04,2021,2,2
ROS,B04,2014,2,2
SHY,B04,2013,2,"2,4"
SLE,B04,2014,2,"2,6"
SLE,B04,2012,2,"2,2"
TD,B04,2018,2,"2,4"
TK,B04,2017,2,1
XA,B04,2022,2,"1,4"
HSV,BHO,2018,1,"0,2"
BSC,BLAB,2021,1,"0,8"
HSV,BLAB,2016,1,"0,2"
VFB,BLAB,2023,1,"0,2"
VFB,BLAB,2013,1,"0,8"
VFLW,BLAB,2019,1,2
AH,BMG,2021,2,"0,8"
ASC,BMG,2015,2,3
DFA,BMG,2022,2,"1,6"
DH,BMG,2016,2,"1,6"
GS,BMG,2023,2,"0,5"
MR,BMG,2019,2,2
ACO,BSC,2019,2,"0,8"
ANO,BSC,2020,2,"1,25"
BLAB,BSC,2020,2,2
FMA,BSC,2022,2,"1,4"
JKL,BSC,2019,2,"1,6"
JLU,BSC,2012,2,"1,4"
MSK,BSC,2012,2,0
OR,BSC,2012,2,"1,2"
PD,BSC,2023,2,"0,8"
PD,BSC,2021,2,"0,2"
PD,BSC,2015,2,"1,4"
SS,BSC,2022,2,"0,8"
TK,BSC,2021,2,"1,4"
ETE,BVB,2022,2,"2,4"
ETE,BVB,2020,2,2
LFA,BVB,2018,2,"2,2"
MR,BVB,2021,2,"2,4"
PB,BVB,2017,2,"2,6"
PST,BVB,2017,2,"1,8"
TT,BVB,2015,2,2
HSV,BVM,2014,1,0
FCB,CA,2017,1,"1,6"
S04,CG,2021,1,"0,4"
BMG,DFA,2023,1,"1,4"
BMG,DH,2019,1,"0,8"
FCN,DH,2012,1,"1,6"
VFLW,DH,2016,1,"0,4"
FKR,DSC,2021,2,1
MKO,DSC,2022,2,"0,5"
FCA,DSCH,2016,1,"1,2"
SVD,DSCH,2016,1,"1,2"
RBL,DT,2022,1,1
S04,DT,2019,1,"0,2"
S04,DWA,2020,1,0
BVB,ETE,2021,1,3
UR,F95,2020,2,"1,2"
DSCH,FCA,2016,2,"1,4"
ENMA,FCA,2022,2,"0,6"
HH,FCA,2020,2,1
MBA,FCA,2016,2,2
MSC,FCA,2019,2,"1,4"
MW,FCA,2021,2,"0,8"
MW,FCA,2012,2,"0,2"
CA,FCB,2016,2,3
HF,FCB,2019,2,"1,8"
JH,FCB,2017,2,3
JN,FCB,2021,2,"2,6"
NK,FCB,2018,2,"2,6"
PGU,FCB,2013,2,"2,6"
TT,FCB,2023,2,2
MKAU,FCI,2016,2,"0,2"
MWA,FCI,2016,2,2
FF,FCK,2021,2,"1,4"
FS,FCK,2012,2,"0,25"
KBA,FCK,2012,2,0
MG,FCK,2019,2,"1,4"
MSCH,FCK,2019,2,0
SB,FCK,2021,2,"1,6"
SR,FCK,2017,2,"1,8"
BSCH,FCN,2019,2,"0,2"
GV,FCN,2013,2,"0,4"
