from,to,year,type,pps
AA,EMFC,2019,2,"1,4"
AA,GCFC,2019,2,1
AA,ASR,2013,2,2
AAG,CCA,2021,2,"0,67"
AAL,JU,2012,2,"2,4"
ABL,GCFC,2021,2,1
AC,IM,2019,2,3
AC,JU,2012,2,2
ACF,GI,2021,1,"1,2"
ACF,CPR,2021,1,"0,8"
ACF,GI,2020,1,1
ACF,VMO,2019,1,"0,2"
ACF,SPI,2019,1,"0,6"
ACF,PS,2017,1,1
ACF,VMO,2014,1,3
ACF,DR,2012,1,"1,6"
ACF,DR,2012,1,"1,2"
ACF,SM,2011,1,1
ACMI,MGI,2019,1,"1,2"
ACMI,GG,2019,1,"2,4"
ACMI,VMO,2017,1,"1,4"
ACMI,CB,2016,1,1
ACMI,SM,2016,1,"0,4"
ACMI,FI,2014,1,"1,8"
ACMI,MT,2014,1,1
ACMI,CS,2014,1,"1,8"
ACMO,GST,2022,1,"0,2"
ACNS,SCO,2012,1,"0,8"
ACNS,GSA,2012,1,"0,4"
ADI,USSA,2021,2,"0,8"
AMA,USSA,2014,2,0
AMA,PFC,2013,2,1
AMA,GCFC,2012,2,"0,67"
ANMA,GCFC,2017,2,"0,8"
ANSO,UCA,2021,2,2
API,JU,2020,2,"1,8"
ASH,GCFC,2020,2,"0,2"
ASO,VFC,2021,2,1
ASR,PF,2021,1,"1,4"
ASR,EDF,2019,1,2
ASR,CR,2019,1,"1,6"
ASR,LSP,2017,1,"2,4"
ASR,RG,2016,1,"1,4"
ASR,ERE,2014,1,"1,6"
ASR,ZZ,2013,1,"0,4"
ASR,AA,2013,1,2
ASR,LEN,2012,1,"0,6"
AST,UCA,2014,2,"2,4"
AST,IM,2012,2,"2,2"
AT,ERE,2016,1,"1,6"
AT,STCO,2015,1,"0,6"
ATE,NFC,2012,2,"1,6"
BC,ECO,2020,1,"0,2"
BC,ECO,2019,1,"0,2"
BC,FG,2019,1,0
BEC,MB,2017,1,0
BFC,SM,2022,1,"0,6"
BM,PFC,2011,2,"1,4"
CA,SSCN,2014,2,"2,4"
CAFC,LDC,2013,1,"0,8"
CAFC,RMA,2014,1,"1,2"
CAFC,RMA,2014,1,0
CAFC,VMO,2012,1,"0,4"
CB,USSA,2017,2,"0,8"
CB,ACMI,2016,2,"1,6"
CB,PC36,2013,2,0
CBE,PC36,2012,2,"1,2"
CC,MFI,2012,1,"0,4"
CCA,WM,2021,1,"0,6"
CCA,LS,2020,1,"0,4"
CCA,EDF,2021,1,"0,2"
CCA,WZ,2020,1,"0,8"
CCA,RMA,2020,1,"0,4"
CCA,DL,2018,1,"1,4"
CCA,MARA,2017,1,"0,6"
CCA,GIF,2014,1,2
CCA,ZZ,2014,1,"0,4"
CCA,GZO,2015,1,"0,2"
CCA,ZZ,2015,1,"0,2"
CCA,DL,2014,1,"0,6"
CCA,IP,2014,1,1
CCA,IP,2013,1,1
CCA,DB,2012,1,"0,8"
