id,name,type,league
AA,Aurelio Andreazzoli,1,4
AAG,Alessandro Agostini,1,4
AAL,Angelo Alessio,1,4
AB,Abelardo,1,3
ABE,Achim Beierlorzer,1,1
ABI,Athletic Bilbao,2,3
ABL,Alexander Blessin,1,4
ABO,Abdel Bouhazama,1,5
ABR,André Breitenreiter,1,1
AC,Antonio Conte,1,6
ACA,AC Ajaccio,2,5
ACAS,Alain Casanova,1,5
ACE,Álvaro Cervera,1,3
ACF,AC Florenz,2,4
ACMI,AC Milan,2,4
ACMO,AC Monza,2,4
ACNS,ACN Siena,2,4
ACO,Ante Covic,1,1
ACR,Andrew Crofts,1,2
ACU,Alan Curtis,1,2
AD,Alexandre Dujeux,1,5
ADA,Aaron Danks,1,2
ADI,Alessio Dionisi,1,4
ADU,Alex Dupont,1,5
AEM,Albert Emon,1,5
AFC,AFC Bournemouth,2,2
AFCS,AFC Sunderland,2,2
AFE,Albert Ferrer,1,3
AG,Asier Garitano,1,3
AH,Adi Hütter,1,6
AHI,Andreas Hinkel,1,1
AI,Andoni Iraola,1,6
AIR,Alan Irvine,1,2
AJ,Ariël Jacobs,1,5
AJA,AJ Auxerre,2,5
AJO,Andries Jonker,1,1
AK,Antoine Kombouaré,1,5
AKA,Aitor Karanka,1,6
AL,Alessio Lisci,1,3
ALA,Deportivo Alaves,2,3
ALC,Albert Celades,1,3
AM,Atlètico Madrid,2,3
AMA,Alberto Malesani,1,4
AMI,Amiens SC,2,5
AML,Alex McLeish,1,2
AMO,Antonio Mohamed,1,3
ANMA,Andrea Mandorlini,1,4
ANO,Alexander Nouri,1,1
ANSO,Andrea Sottil,1,4
AP,Ange Postecoglou,1,2
APA,André Pawlak,1,1
APAR,Alan Pardew,1,2
APE,Attilio Perotti,1,4
API,Andrea Pirlo,1,4
AR,Armin Reutershahn,1,1
ARE,Abel Resino,1,3
ARFC,Arsenal FC,2,2
AS,Alfred Schreuder,1,1
ASAD,Adam Sadler,1,2
ASC,Andre Schubert,1,1
ASCO,Angers SCO,2,5
ASH,Andriy Shevchenko,1,4
ASL,AS Nancy-Lorraine,2,5
ASM,AS Monaco,2,5
ASO,Andrea Soncin,1,4
ASR,AS Roma,2,4
ASSE,AS Saint-Étienne,2,5
AST,Andrea Stramaccioni,1,4
AT,Atalanta Bergamo,2,4
ATE,Attilio Tesser,1,4
ATR,Alexis Trujillo,1,6
AUR,Adrian Ursea,1,5
AV,Aston Villa,2,2
AVB,Andre Villas-Boas,1,6
AVE,Armin Veh,1,1
AW,Arsene Wenger,1,2
AZO,Alexander Zorniger,1,1
B04,Bayer 04 Leverkusen,2,1
BB,Bernard Blaquart,1,5
BBR,Bob Bradley,1,2
BC,Brescia Calcio,2,4
BCA,Bernard Casoni,1,5
BEC,Benevento Calcio,2,4
BG,Bruno Genesio,1,5
BGR,Bruno Grougi,1,5
BHA,Brigthon & Hove Albion,2,2
BHO,Bernd Hollerbach,1,1
BI,Bruno Irles,1,5
BK,Brian Kidd,1,2
BL,Bruno Lage,1,2
BLAB,Bruno Labbadia,1,1
BM,Bortolo Mutti,1,4
BMG,Borussia Mönchengladbach,2,1
BOFC,Crystal Palace,2,2
BR,Brendan Rodgers,1,2
BS,Bo Svennson,1,1
BSC,Hertha BSC,2,1
BSCH,Boris Schommers,1,1
BSCHU,Bernd Schuster,1,3
BVB,Borussia Dortmund,2,1
BVM,Bert van Marwijk,1,1
CA,Carlo Ancelotti,1,6
CAFC,Catania FC,2,4
CAO,CA Osasuna,2,3
CAR,Cardiff City,2,2
CB,Cristian Brocchi,1,4
CBE,Cristiano Bergodi,1,4
CBR,Christian Bracconi,1,5
CC,Carlos Carvalhal,1,6
CCA,Cagliari Calcio,2,4
CCF,Cádiz CF,2,3
CCO,Cosmin Contra,1,3
CDL,CD Leganes,2,3
CF,Ciro Ferrara,1,4
CFC,FC Chelsea,2,2
CG,Christian Gross,1,1
CGA,Christophe Galtier,1,5
CH,Chris Hughton,1,2
CHG,Christian Gourcuff,1,5
CM,Carles Martínez,1,5
CMA,Corentin Martins,1,5
CMAK,Claude Makelele,1,5
COG,Constantin Galca,1,3
CP,Christophe Pélissier,1,5
CPA,Cristobal Parralo,1,3
CPR,Cesare Prandelli,1,6
CPU,Claude Puel,1,6
CR,Claudio Ranieri,1,6
CRA,Chris Ramsey,1,2
CRO,Claude Robin,1,5
CS,Clarence Seedorf,1,6
CSH,Craig Shakespeare,1,2
CST,Christian Streich,1,1
CSTE,Christian Stellini,1,2
CT,Christian Titz,1,1
CVE,Chievo Verona,2,4
CW,Chris Wilder,1,2
CZ,Cuco Ziganda,1,3
DA,Dick Advocaat,1,2
DAR,Daniele Arrigoni,1,4
DARR,Dominique Arribage,1,5
DAST,Daniel Stendel,1,1
DB,Davide Ballardini,1,4
DBO,Diego Bortoluzzi,1,4
DD,Didier Deschamps,1,5
DDC,Domenico Di Carlo,1,4
DDI,Didier Digard,1,5
DEM,Devis Mangia,1,4
DF,Duncan Ferguson,1,2
DFA,Daniel Farke,1,6
DFCO,Dijon FCO,2,5
DG,David Gallego,1,3
DGR,Dimitrios Grammozis,1,1
DGU,David Guion,1,5
DH,Dieter Hecking,1,1
DK,David Kerslake,1,2
DL,Diego Lopez,1,4
DLC,Deportivo La Coruna,2,3
DLI,David Linares,1,5
DM,David Moyes,1,6
DMA,Diego Martínez,1,6
DMO,Darren Moore,1,2
DN,Davide Nicola,1,4
DP,Domingos Paciencia,1,3
DR,Delio Rossi,1,4
DS,Dean Smith,1,2
DSA,Daniel Sanchez,1,5
DSC,Arminia Bielefeld,2,1
DSCH,Dirk Schuster,1,1
DSI,Diego Simeone,1,3
DST,Dejan Stanković,1,4
DT,Domenico Tedesco,1,1
DTO,Dino Toppmöller,1,1
DU,David Unsworth,1,2
DWA,David Wagner,1,6
DZ,Denis Zanko,1,5
EAG,EA Guingamp,1,5
EB,Élie Baup,1,5
EBE,Eduardo Berizzo,1,3
EBED,Eric Bedouet,1,5
EBL,Eric Black,1,2
EC,Eduardo Coudet,1,6
ECO,Eugenio Corini,1,4
ED,Eamonn Dolan,1,2
EDF,Eusebio Di Francesco,1,4
EH,Eric Hély,1,5
EHO,Eddie Howe,1,2
EMA,Enrique Martín,1,3
EMFC,Empoli FC,2,4
EMO,Emiliano Mondonico,1,4
ENMA,Enrico Maaßen,1,1
ERE,Edoardo Reja,1,4
ERO,Eric Roy,1,5
ET,Estac Troyes,2,5
ETE,Edin Terzic,1,1
ETH,Erik ten Hag,1,2
EU,Eusebio,1,3
EV,Ernesto Valverde,1,3
EVFC,Everton FC,2,2
F95,Fortuna Düsseldorf,2,1
FA,Frederic Antonetti,1,5
FACA,Fabrizio Castori,1,4
FAL,Fabio Liverani,1,4
FCA,FC Augsburg,2,1
FCAL,Frosinone Calcio,2,4
FCB,FC Bayern München,2,1
FCBA,FC Barcelona,2,3
FCBO,FC Bologna,2,4
FCBU,FC Burnley,2,2
FCCA,FC Carpi,2,4
FCCE,FC Cesena,2,4
FCCO,FC Córdoba,2,3
FCCR,FC Crotone,2,4
FCE,FC Elche,2,3
FCET,FC Évian Thonon Gaillard,2,5
FCGB,FC Girondins Bordeaux,2,5
FCI,FC Ingolstadt 04,2,1
FCIC,Francois Ciccolini,1,5
FCK,1. FC Köln,2,1
FCKA,1. FC Kaiserslautern,2,1
FCL,FC Lorient,2,5
FCM,FC Malaga,2,3
FCME,FC Metz,2,5
FCMI,FC Middlesbrough,2,2
FCN,1. FC Nürnberg,2,1
FCNA,FC Nantes,2,5
FCR,FC Reading,2,2
FCSM,FC Sochaux-Montbéliard,2,5
FCSR,FC Stade Rennes,2,5
FCT,FC Turin,2,4
FCV,FC Valenciennes,2,5
FCW,FC Watford,2,2
FD,Franck Dumas,1,5
FDB,Frank de Boer,1,6
FDC,Fernando Da Cruz,1,5
FE,Fran Escribá,1,3
FF,Friedhelm Funkel,1,1
FFA,Francesco Farioli,1,5
FFC,Fulham FC,2,2
FG,Fabio Grosso,1,4
FGI,Francis Gillot,1,5
FGO,Fabri Gonzales,1,3
FGU,Francesco Guidolin,1,6
FHA,Franck Haise,1,5
FI,Filippo Inzaghi,1,4
FKO,Florian Kohfeldt,1,1
FKR,Frank Kramer,1,1
FL,Frank Lampard,1,2
FLJ,Freddie Ljungberg,1,2
FLO,Fabrizio Lorieri,1,4
FM,Fabien Mercadal,1,5
FMA,Felix Magath,1,6
FP,Francesco Pedone,1,4
FPA,Franck Passi,1,5
FPE,Fabio Pecchia,1,4
FR,Francisco Rodríguez,1,6
FRA,Fabrizio Ravanelli,1,5
FRHA,Frederic Hantz,1,5
FRU,Francisco Rufete,1,3
FS,Frank Schaefer,1,1
FSVM,1. FSV Mainz 05,2,1
FT,Felice Tufano,1,4
FV,Fernando Vázquez,1,3
GB,Gérald Baticle,1,5
GBS,Guillermo Barros Schelotto,1,4
GC,Gabriele Cioffi,1,4
GCA,Gabriel Calderon,1,3
GCF,Getafe CF,2,3
GCFC,Genua CFC,2,4
GDB,Giovanni De Biasi,1,3
GFC,Girona FC,2,3
GG,Gennaro Gattuso,1,6
GGA,Gaizka Garitano,1,3
